title,category_name,rating,price_gbp,price_inr,in_stock
Aladdin and His Wonderful Lamp,Default,3,,,1
Penny Maybe,Default,3,,,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,2,13.99,1475.945,1
Maude (1883-1993):She Grew Up with the country,Default,2,18.02,1901.11,1
Soul Reader,Default,2,39.58,4175.69,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,2,,,1
Maude (1883-1993):She Grew Up with the country,Default,2,,,1
Soul Reader,Default,2,,,1
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5,13.34,1407.37,1
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5,,,1
Unicorn Tracks,Fantasy,3,18.78,1981.2900000000002,1
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,3,25.02,2639.61,1
Unicorn Tracks,Fantasy,3,,,1
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,3,,,1
Masks and Shadows,Fantasy,2,56.4,5950.2,1
Masks and Shadows,Fantasy,2,,,1
Private Paris (Private #10),Fiction,5,47.61,5022.855,1
"We Love You, Charlie Freeman",Fiction,5,50.27,5303.485000000001,1
Thirst,Fiction,5,17.27,1821.985,1
Private Paris (Private #10),Fiction,5,,,1
"We Love You, Charlie Freeman",Fiction,5,,,1
Thirst,Fiction,5,,,1
The Murder That Never Was (Forensic Instincts #5),Fiction,3,54.11,5708.605,1
The Murder That Never Was (Forensic Instincts #5),Fiction,3,,,1
Soumission,Fiction,1,50.1,5285.55,1
Soumission,Fiction,1,,,1
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,4,14.02,1479.11,1
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,4,,,1
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,3,30.52,3219.86,1
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,3,,,1
My Paris Kitchen: Recipes and Stories,Food and Drink,2,33.37,3520.535,1
My Paris Kitchen: Recipes and Stories,Food and Drink,2,,,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,1,56.41,5951.254999999999,1
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,1,40.11,4231.605,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,1,,,1
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,1,,,1
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,3,49.05,5174.775,1
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,3,,,1
Tipping the Velvet,Historical Fiction,1,53.74,5669.570000000001,1
Tipping the Velvet,Historical Fiction,1,,,1
Sapiens: A Brief History of Humankind,History,5,54.23,5721.264999999999,1
Sapiens: A Brief History of Humankind,History,5,,,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,2,36.28,3827.54,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,2,,,1
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,1,25.52,2692.36,1
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,1,19.73,2081.515,1
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,1,,,1
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,1,,,1
Security,Horror,2,39.25,4140.875,1
Security,Horror,2,,,1
Rip it Up and Start Again,Music,5,35.02,3694.61,1
Rip it Up and Start Again,Music,5,,,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,3,57.25,6039.875,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,3,,,1
How Music Works,Music,2,37.32,3937.26,1
How Music Works,Music,2,,,1
Sharp Objects,Mystery,4,47.82,5045.01,1
The Past Never Ends,Mystery,4,56.5,5960.75,1
Sharp Objects,Mystery,4,,,1
The Past Never Ends,Mystery,4,,,1
"In a Dark, Dark Wood",Mystery,1,19.63,2070.9649999999997,1
"In a Dark, Dark Wood",Mystery,1,,,1
Without Borders (Wanderlove #1),New Adult,2,45.07,4754.885,1
Without Borders (Wanderlove #1),New Adult,2,,,1
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,40.3,4251.65,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,23.11,2438.105,1
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,,,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,,,1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,4,44.18,4660.99,1
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,4,41.83,4413.065,1
In the Country We Love: My Family Divided,Nonfiction,4,22.0,2321.0,1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,4,,,1
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,4,,,1
In the Country We Love: My Family Divided,Nonfiction,4,,,1
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3,31.05,3275.775,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,3,31.12,3283.1600000000003,1
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,3,16.77,1769.235,1
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3,,,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,3,,,1
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,3,,,1
Reasons to Stay Alive,Nonfiction,2,26.41,2786.255,1
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,2,19.83,2092.0649999999996,1
Reasons to Stay Alive,Nonfiction,2,,,1
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,2,,,1
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,1,37.13,3917.215,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,1,56.06,5914.33,1
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,1,,,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,1,,,1
Sophie's World,Philosophy,5,15.94,1681.6699999999998,1
Sophie's World,Philosophy,5,,,1
The Death of Humanity: and the Case for Life,Philosophy,4,58.11,6130.605,1
The Death of Humanity: and the Case for Life,Philosophy,4,,,1
Shakespeare's Sonnets,Poetry,4,20.66,2179.63,1
Untitled Collection: Sabbath Poems 2014,Poetry,4,14.27,1505.485,1
Shakespeare's Sonnets,Poetry,4,,,1
Untitled Collection: Sabbath Poems 2014,Poetry,4,,,1
A Light in the Attic,Poetry,3,51.77,5461.735000000001,1
Slow States of Collapse: Poems,Poetry,3,57.31,6046.205,1
A Light in the Attic,Poetry,3,,,1
Slow States of Collapse: Poems,Poetry,3,,,1
You can't bury them all: Poems,Poetry,2,33.63,3547.965,1
You can't bury them all: Poems,Poetry,2,,,1
The Black Maria,Poetry,1,52.15,5501.825,1
Olio,Poetry,1,23.88,2519.3399999999997,1
The Black Maria,Poetry,1,,,1
Olio,Poetry,1,,,1
Libertarianism for Beginners,Politics,2,51.33,5415.315,1
Libertarianism for Beginners,Politics,2,,,1
Chase Me (Paris Nights #2),Romance,5,25.27,2665.985,1
Black Dust,Romance,5,34.53,3642.915,1
Chase Me (Paris Nights #2),Romance,5,,,1
Black Dust,Romance,5,,,1
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,4,42.96,4532.28,1
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,4,,,1
Join,Science Fiction,5,35.67,3763.1850000000004,1
Join,Science Fiction,5,,,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,1,37.59,3965.7450000000003,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,1,,,1
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,1,46.35,4889.925,1
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,1,,,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,52.29,5516.595,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5,13.61,1435.855,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,,,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5,,,1
This One Summer,Sequential Art,4,19.49,2056.1949999999997,1
The Nameless City (The Nameless City #1),Sequential Art,4,38.16,4025.8799999999997,1
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,4,15.44,1628.9199999999998,1
This One Summer,Sequential Art,4,,,1
The Nameless City (The Nameless City #1),Sequential Art,4,,,1
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,4,,,1
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,3,50.4,5317.2,1
Patience,Sequential Art,3,10.16,1071.88,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,3,45.61,4811.855,1
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,3,,,1
Patience,Sequential Art,3,,,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,3,,,1
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,2,51.04,5384.72,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,2,46.91,4949.004999999999,1
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,2,19.92,2101.5600000000004,1
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,2,,,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,2,,,1
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,2,,,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,1,16.28,1717.5400000000002,1
"Pop Gun War, Volume 1: Gift",Sequential Art,1,18.97,2001.3349999999998,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,1,48.41,5107.254999999999,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,1,,,1
"Pop Gun War, Volume 1: Gift",Sequential Art,1,,,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,1,,,1
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,5,17.66,1863.13,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,5,32.24,3401.32,1
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,5,,,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,5,,,1
The Elephant Tree,Thriller,5,23.82,2513.01,1
The Elephant Tree,Thriller,5,,,1
Behind Closed Doors,Thriller,4,52.22,5509.21,1
Behind Closed Doors,Thriller,4,,,1
In Her Wake,Thriller,1,12.84,1354.62,1
In Her Wake,Thriller,1,,,1
It's Only the Himalayas,Travel,2,45.17,4765.435,1
It's Only the Himalayas,Travel,2,,,1
Set Me Free,Young Adult,5,17.46,1842.0300000000002,1
Set Me Free,Young Adult,5,,,1
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,3,45.22,4770.71,1
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,3,,,1
Obsidian (Lux #1),Young Adult,2,14.86,1567.73,1
Obsidian (Lux #1),Young Adult,2,,,1
The Requiem Red,Young Adult,1,22.65,2389.575,1
The Requiem Red,Young Adult,1,,,1
